Sample ID	Crop	Taxonomy	Level of improvement	"Country, State"	Region
AGG47808CHIC1-B00001-10-02	Chickpea	Cicer arietinum	Breeding Material	Tunisia	Africa
AGG47813CHIC2-B00001-10-03	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG47819CHIC2-B00001-10-04	Chickpea	Cicer arietinum	Landrace	"India, Uttar Pradesh"	South Asia
AGG47821CHIC2-B00001-10-05	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Punjab"	South Asia
AGG47822CHIC2-B00001-10-06	Chickpea	Cicer arietinum	Landrace	Colombia	Americas
AGG47823CHIC2-B00001-10-07	Chickpea	Cicer arietinum	Landrace	"India, Bihar"	South Asia
AGG47825CHIC2-B00001-10-08	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47827CHIC2-B00001-10-09	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47843CHIC2-B00001-10-10	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47848CHIC2-B00001-10-11	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47850CHIC2-B00001-10-12	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47851CHIC2-B00001-10-13	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47852CHIC2-B00001-10-14	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47854CHIC2-B00001-10-15	Chickpea	Cicer arietinum	Uncertain	Unknown	Unknown
AGG47877CHIC1-B00001-10-16	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Jizzakh"	Central Asia
AGG47887CHIC2-B00001-10-17	Chickpea	Cicer arietinum	Breeding Material	Turkey	Middle East
AGG47898CHIC2-B00001-10-18	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG47976CHIC2-B00001-10-19	Chickpea	Cicer arietinum	Landrace	"Iran, Esfahan"	Middle East
AGG48006CHIC1-B00001-10-20	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Delhi"	South Asia
AGG48047CHIC2-B00001-10-21	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG48050CHIC2-B00001-10-22	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG48051CHIC2-B00001-10-23	Chickpea	Cicer arietinum	Advanced Cultivar	"India, Andhra Pradesh"	South Asia
AGG48053CHIC2-B00001-10-24	Chickpea	Cicer arietinum	Landrace	United States	Americas
AGG48057CHIC2-B00001-10-25	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG48058CHIC2-B00001-10-26	Chickpea	Cicer arietinum	Breeding Material	"India, Andhra Pradesh"	South Asia
AGG48118CHIC2-B00001-10-27	Chickpea	Cicer arietinum	Advanced Cultivar	"Australia, Queensland"	Oceania
AGG48157CHIC2-B00001-10-28	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48235CHIC1-B00001-10-29	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48236CHIC5-B00001-10-30	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48238CHIC1-B00001-10-31	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48239CHIC1-B00001-10-32	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48240CHIC1-B00001-10-33	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48242CHIC5-B00001-10-34	Chickpea	Cicer arietinum	Breeding Material	India	South Asia
AGG48296CHIC2-B00001-10-35	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48299CHIC2-B00001-10-36	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48316CHIC5-B00001-10-37	Chickpea	Cicer arietinum	Landrace	United Kingdom	Northern Europe
AGG48324CHIC5-B00001-10-38	Chickpea	Cicer arietinum	Landrace	Spain	Southern Europe
AGG48333CHIC5-B00001-10-39	Chickpea	Cicer arietinum	Landrace	"Turkey, Bursa"	Middle East
AGG48398CHIC1-B00001-10-40	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48401CHIC3-B00001-10-42	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
AGG48402CHIC2-B00001-10-43	Chickpea	Cicer arietinum	Breeding Material	Syria	Middle East
